image_id,category_label,category_name,attributes,landmark_x1,landmark_y1,landmark_x2,landmark_y2,style,color,season,formality
img_00000001,1,short_sleeve_top,floral|loose|v-neck,120,80,380,320,casual,multicolor,summer,0.20
img_00000002,6,trousers,slim|high-waist|plain,110,330,390,600,smart-casual,black,all,0.70
img_00000003,1,short_sleeve_top,graphic|regular|crew-neck,130,70,370,310,casual,white,all,0.15
img_00000004,13,sling_dress,fitted|midi|strappy,100,60,400,620,formal,navy,evening,0.80
img_00000005,9,skirt,pleated|midi|A-line,115,320,385,590,smart-casual,grey,all,0.65
img_00000006,2,long_sleeve_top,plain|fitted|turtleneck,125,75,375,315,smart-casual,cream,winter,0.55
img_00000007,7,shorts,denim|regular|frayed,105,330,395,480,casual,denim,summer,0.10
img_00000008,4,long_sleeve_outwear,structured|double-breasted|lapel,90,50,410,640,formal,charcoal,all,0.90
img_00000009,1,short_sleeve_top,linen|relaxed|button-down,128,72,372,318,casual,white,summer,0.25
img_00000010,6,trousers,wide-leg|pleated|check-pattern,108,328,392,602,smart-casual,brown,all,0.68
img_00000011,3,short_sleeve_outwear,denim|regular|button-front,95,55,405,420,casual,denim,all,0.35
img_00000012,10,short_sleeve_dress,wrap|floral|midi,102,58,398,618,smart-casual,floral,spring,0.60
img_00000013,2,long_sleeve_top,silk|fitted|cowl-neck,122,78,378,322,formal,gold,evening,0.82
img_00000014,6,trousers,straight|plain|ankle-length,112,332,388,598,casual,olive,all,0.30
img_00000015,4,long_sleeve_outwear,trench|belted|double-breasted,88,48,412,645,smart-casual,camel,autumn,0.78
img_00000016,9,skirt,mini|pleated|solid,118,322,382,465,casual,red,all,0.30
img_00000017,1,short_sleeve_top,lace-trim|fitted|scoop-neck,126,76,374,316,smart-casual,blush,spring,0.50
img_00000018,7,shorts,tailored|bermuda|solid,106,332,394,482,smart-casual,navy,summer,0.45
img_00000019,4,long_sleeve_outwear,bomber|ribbed-cuffs|zip-front,93,53,407,438,casual,black,all,0.40
img_00000020,11,long_sleeve_dress,knit|bodycon|turtleneck,103,57,397,622,smart-casual,burgundy,winter,0.72
img_00000021,2,long_sleeve_top,flannel|relaxed|button-down,127,73,373,317,casual,plaid,autumn,0.20
img_00000022,6,trousers,skinny|solid|mid-rise,111,331,389,601,casual,white,all,0.35
img_00000023,5,vest,puffer|oversized|zip-front,97,57,403,435,sporty,neon-yellow,all,0.05
img_00000024,9,skirt,satin|maxi|bias-cut,116,321,384,630,formal,champagne,evening,0.88
