id,name,style,occasions,items,color_palette,season,formality_score,feature_vector
1,Classic White Tee & Dark Jeans,casual,casual|weekend|street,t-shirt|jeans|sneakers,white|dark-blue|white,all,0.25,0.31|0.28|0.33|0.29|0.30|0.27|0.32|0.28|0.34|0.26|0.31|0.29|0.28|0.33|0.30|0.27|0.32|0.29|0.31|0.28|0.30|0.27|0.33|0.29|0.31|0.28|0.32|0.27|0.30|0.29|0.34|0.28|0.31|0.27|0.30|0.32|0.29|0.28|0.33|0.30|0.29|0.31|0.28|0.27|0.32|0.30|0.29|0.31|0.28|0.33|0.30|0.27|0.32|0.29|0.28|0.31|0.30|0.27|0.33|0.29|0.31|0.28|0.30|0.32
2,Smart Business Casual,smart-casual,work|meeting|lunch,formal-shirt|chinos|loafers,light-blue|beige|brown,all,0.75,0.72|0.68|0.75|0.71|0.73|0.69|0.74|0.70|0.72|0.68|0.75|0.71|0.73|0.69|0.74|0.70|0.72|0.68|0.75|0.71|0.73|0.69|0.74|0.70|0.72|0.68|0.75|0.71|0.73|0.69|0.74|0.70|0.72|0.68|0.75|0.71|0.73|0.69|0.74|0.70|0.72|0.68|0.75|0.71|0.73|0.69|0.74|0.70|0.72|0.68|0.75|0.71|0.73|0.69|0.74|0.70|0.72|0.68|0.75|0.71|0.73|0.69|0.74|0.70
3,Evening Party Look,formal,party|evening|gala,blazer|dress-trousers|dress-shirt|heels,black|white|gold,all,0.90,0.88|0.85|0.90|0.87|0.89|0.86|0.91|0.88|0.85|0.90|0.87|0.89|0.86|0.91|0.88|0.85|0.90|0.87|0.89|0.86|0.91|0.88|0.85|0.90|0.87|0.89|0.86|0.91|0.88|0.85|0.90|0.87|0.89|0.86|0.91|0.88|0.85|0.90|0.87|0.89|0.86|0.91|0.88|0.85|0.90|0.87|0.89|0.86|0.91|0.88|0.85|0.90|0.87|0.89|0.86|0.91|0.88|0.85|0.90|0.87|0.89|0.86|0.91|0.88
4,Athleisure Street Style,sporty,casual|gym|weekend|street,hoodie|joggers|sneakers,grey|black|white,all,0.15,0.15|0.12|0.18|0.14|0.16|0.13|0.17|0.14|0.15|0.12|0.18|0.14|0.16|0.13|0.17|0.14|0.15|0.12|0.18|0.14|0.16|0.13|0.17|0.14|0.15|0.12|0.18|0.14|0.16|0.13|0.17|0.14|0.15|0.12|0.18|0.14|0.16|0.13|0.17|0.14|0.15|0.12|0.18|0.14|0.16|0.13|0.17|0.14|0.15|0.12|0.18|0.14|0.16|0.13|0.17|0.14|0.15|0.12|0.18|0.14|0.16|0.13|0.17|0.14
5,Date Night Chic,smart-casual,date|dinner|evening,fitted-dress|ankle-boots|clutch,burgundy|nude|gold,autumn,0.70,0.69|0.66|0.71|0.68|0.70|0.67|0.72|0.69|0.66|0.71|0.68|0.70|0.67|0.72|0.69|0.66|0.71|0.68|0.70|0.67|0.72|0.69|0.66|0.71|0.68|0.70|0.67|0.72|0.69|0.66|0.71|0.68|0.70|0.67|0.72|0.69|0.66|0.71|0.68|0.70|0.67|0.72|0.69|0.66|0.71|0.68|0.70|0.67|0.72|0.69|0.66|0.71|0.68|0.70|0.67|0.72|0.69|0.66|0.71|0.68|0.70|0.67|0.72|0.69
6,Summer Beach Look,casual,beach|vacation|casual,crop-top|shorts|sandals,coral|white|turquoise,summer,0.10,0.10|0.08|0.13|0.09|0.11|0.08|0.12|0.09|0.10|0.08|0.13|0.09|0.11|0.08|0.12|0.09|0.10|0.08|0.13|0.09|0.11|0.08|0.12|0.09|0.10|0.08|0.13|0.09|0.11|0.08|0.12|0.09|0.10|0.08|0.13|0.09|0.11|0.08|0.12|0.09|0.10|0.08|0.13|0.09|0.11|0.08|0.12|0.09|0.10|0.08|0.13|0.09|0.11|0.08|0.12|0.09|0.10|0.08|0.13|0.09|0.11|0.08|0.12|0.09
7,Power Work Suit,formal,work|meeting|formal|conference,suit-jacket|dress-trousers|formal-shirt|tie|oxford-shoes,charcoal|white|silver,all,0.95,0.93|0.91|0.95|0.92|0.94|0.91|0.96|0.93|0.91|0.95|0.92|0.94|0.91|0.96|0.93|0.91|0.95|0.92|0.94|0.91|0.96|0.93|0.91|0.95|0.92|0.94|0.91|0.96|0.93|0.91|0.95|0.92|0.94|0.91|0.96|0.93|0.91|0.95|0.92|0.94|0.91|0.96|0.93|0.91|0.95|0.92|0.94|0.91|0.96|0.93|0.91|0.95|0.92|0.94|0.91|0.96|0.93|0.91|0.95|0.92|0.94|0.91|0.96|0.93
8,Boho Chic Festival,casual,festival|casual|outdoor,floral-dress|denim-jacket|ankle-boots,floral|denim|brown,spring,0.35,0.34|0.31|0.36|0.33|0.35|0.32|0.37|0.34|0.31|0.36|0.33|0.35|0.32|0.37|0.34|0.31|0.36|0.33|0.35|0.32|0.37|0.34|0.31|0.36|0.33|0.35|0.32|0.37|0.34|0.31|0.36|0.33|0.35|0.32|0.37|0.34|0.31|0.36|0.33|0.35|0.32|0.37|0.34|0.31|0.36|0.33|0.35|0.32|0.37|0.34|0.31|0.36|0.33|0.35|0.32|0.37|0.34|0.31|0.36|0.33|0.35|0.32|0.37|0.34
9,Minimalist Monochrome,smart-casual,work|casual|street,white-shirt|black-trousers|black-loafers,white|black,all,0.65,0.64|0.61|0.67|0.63|0.65|0.62|0.68|0.64|0.61|0.67|0.63|0.65|0.62|0.68|0.64|0.61|0.67|0.63|0.65|0.62|0.68|0.64|0.61|0.67|0.63|0.65|0.62|0.68|0.64|0.61|0.67|0.63|0.65|0.62|0.68|0.64|0.61|0.67|0.63|0.65|0.62|0.68|0.64|0.61|0.67|0.63|0.65|0.62|0.68|0.64|0.61|0.67|0.63|0.65|0.62|0.68|0.64|0.61|0.67|0.63|0.65|0.62|0.68|0.64
10,Cozy Winter Layers,casual,casual|outdoor|winter,turtleneck|wool-coat|jeans|boots,camel|white|denim,winter,0.45,0.44|0.41|0.47|0.43|0.45|0.42|0.48|0.44|0.41|0.47|0.43|0.45|0.42|0.48|0.44|0.41|0.47|0.43|0.45|0.42|0.48|0.44|0.41|0.47|0.43|0.45|0.42|0.48|0.44|0.41|0.47|0.43|0.45|0.42|0.48|0.44|0.41|0.47|0.43|0.45|0.42|0.48|0.44|0.41|0.47|0.43|0.45|0.42|0.48|0.44|0.41|0.47|0.43|0.45|0.42|0.48|0.44|0.41|0.47|0.43|0.45|0.42|0.48|0.44
11,Streetwear Hype,casual,street|casual|concert,graphic-tee|cargo-pants|chunky-sneakers|cap,black|olive|white,all,0.20,0.19|0.16|0.22|0.18|0.20|0.17|0.23|0.19|0.16|0.22|0.18|0.20|0.17|0.23|0.19|0.16|0.22|0.18|0.20|0.17|0.23|0.19|0.16|0.22|0.18|0.20|0.17|0.23|0.19|0.16|0.22|0.18|0.20|0.17|0.23|0.19|0.16|0.22|0.18|0.20|0.17|0.23|0.19|0.16|0.22|0.18|0.20|0.17|0.23|0.19|0.16|0.22|0.18|0.20|0.17|0.23|0.19|0.16|0.22|0.18|0.20|0.17|0.23|0.19
12,Formal Black Tie,formal,gala|wedding|formal|party,tuxedo|bow-tie|dress-shirt|leather-shoes,black|white,all,0.98,0.97|0.94|0.98|0.96|0.98|0.95|0.99|0.97|0.94|0.98|0.96|0.98|0.95|0.99|0.97|0.94|0.98|0.96|0.98|0.95|0.99|0.97|0.94|0.98|0.96|0.98|0.95|0.99|0.97|0.94|0.98|0.96|0.98|0.95|0.99|0.97|0.94|0.98|0.96|0.98|0.95|0.99|0.97|0.94|0.98|0.96|0.98|0.95|0.99|0.97|0.94|0.98|0.96|0.98|0.95|0.99|0.97|0.94|0.98|0.96|0.98|0.95|0.99|0.97
13,Casual Summer Stripes,casual,casual|beach|brunch,striped-shirt|white-shorts|espadrilles,navy|white,summer,0.25,0.24|0.21|0.27|0.23|0.25|0.22|0.28|0.24|0.21|0.27|0.23|0.25|0.22|0.28|0.24|0.21|0.27|0.23|0.25|0.22|0.28|0.24|0.21|0.27|0.23|0.25|0.22|0.28|0.24|0.21|0.27|0.23|0.25|0.22|0.28|0.24|0.21|0.27|0.23|0.25|0.22|0.28|0.24|0.21|0.27|0.23|0.25|0.22|0.28|0.24|0.21|0.27|0.23|0.25|0.22|0.28|0.24|0.21|0.27|0.23|0.25|0.22|0.28|0.24
14,Smart Date Night,smart-casual,date|dinner|evening,fitted-blazer|dark-jeans|chelsea-boots|pocket-square,navy|dark-blue|white,all,0.72,0.71|0.68|0.74|0.70|0.72|0.69|0.75|0.71|0.68|0.74|0.70|0.72|0.69|0.75|0.71|0.68|0.74|0.70|0.72|0.69|0.75|0.71|0.68|0.74|0.70|0.72|0.69|0.75|0.71|0.68|0.74|0.70|0.72|0.69|0.75|0.71|0.68|0.74|0.70|0.72|0.69|0.75|0.71|0.68|0.74|0.70|0.72|0.69|0.75|0.71|0.68|0.74|0.70|0.72|0.69|0.75|0.71|0.68|0.74|0.70|0.72|0.69|0.75|0.71
15,Feminine Spring Pastels,smart-casual,brunch|casual|work,pastel-blouse|tailored-trousers|ballet-flats,blush|cream|lavender,spring,0.60,0.59|0.56|0.62|0.58|0.60|0.57|0.63|0.59|0.56|0.62|0.58|0.60|0.57|0.63|0.59|0.56|0.62|0.58|0.60|0.57|0.63|0.59|0.56|0.62|0.58|0.60|0.57|0.63|0.59|0.56|0.62|0.58|0.60|0.57|0.63|0.59|0.56|0.62|0.58|0.60|0.57|0.63|0.59|0.56|0.62|0.58|0.60|0.57|0.63|0.59|0.56|0.62|0.58|0.60|0.57|0.63|0.59|0.56|0.62|0.58|0.60|0.57|0.63|0.59
16,Autumn Rustic Vibes,casual,casual|hiking|outdoor,flannel-shirt|dark-jeans|hiking-boots,rust|brown|denim,autumn,0.30,0.29|0.26|0.32|0.28|0.30|0.27|0.33|0.29|0.26|0.32|0.28|0.30|0.27|0.33|0.29|0.26|0.32|0.28|0.30|0.27|0.33|0.29|0.26|0.32|0.28|0.30|0.27|0.33|0.29|0.26|0.32|0.28|0.30|0.27|0.33|0.29|0.26|0.32|0.28|0.30|0.27|0.33|0.29|0.26|0.32|0.28|0.30|0.27|0.33|0.29|0.26|0.32|0.28|0.30|0.27|0.33|0.29|0.26|0.32|0.28|0.30|0.27|0.33|0.29
17,Cocktail Party Ready,formal,party|cocktail|evening,midi-dress|heels|statement-earrings,emerald|gold,all,0.82,0.81|0.78|0.84|0.80|0.82|0.79|0.85|0.81|0.78|0.84|0.80|0.82|0.79|0.85|0.81|0.78|0.84|0.80|0.82|0.79|0.85|0.81|0.78|0.84|0.80|0.82|0.79|0.85|0.81|0.78|0.84|0.80|0.82|0.79|0.85|0.81|0.78|0.84|0.80|0.82|0.79|0.85|0.81|0.78|0.84|0.80|0.82|0.79|0.85|0.81|0.78|0.84|0.80|0.82|0.79|0.85|0.81|0.78|0.84|0.80|0.82|0.79|0.85|0.81
18,Running & Training,sporty,gym|sport|running,athletic-top|leggings|running-shoes,black|neon-green,all,0.05,0.05|0.03|0.07|0.04|0.06|0.03|0.08|0.05|0.03|0.07|0.04|0.06|0.03|0.08|0.05|0.03|0.07|0.04|0.06|0.03|0.08|0.05|0.03|0.07|0.04|0.06|0.03|0.08|0.05|0.03|0.07|0.04|0.06|0.03|0.08|0.05|0.03|0.07|0.04|0.06|0.03|0.08|0.05|0.03|0.07|0.04|0.06|0.03|0.08|0.05|0.03|0.07|0.04|0.06|0.03|0.08|0.05|0.03|0.07|0.04|0.06|0.03|0.08|0.05
19,Denim on Denim,casual,casual|street|weekend,denim-jacket|jeans|white-tee|boots,denim|white|brown,all,0.28,0.27|0.24|0.30|0.26|0.28|0.25|0.31|0.27|0.24|0.30|0.26|0.28|0.25|0.31|0.27|0.24|0.30|0.26|0.28|0.25|0.31|0.27|0.24|0.30|0.26|0.28|0.25|0.31|0.27|0.24|0.30|0.26|0.28|0.25|0.31|0.27|0.24|0.30|0.26|0.28|0.25|0.31|0.27|0.24|0.30|0.26|0.28|0.25|0.31|0.27|0.24|0.30|0.26|0.28|0.25|0.31|0.27|0.24|0.30|0.26|0.28|0.25|0.31|0.27
20,Office Power Look,formal,work|conference|presentation,structured-blazer|pencil-skirt|heels|silk-blouse,red|black|nude,all,0.88,0.87|0.84|0.90|0.86|0.88|0.85|0.91|0.87|0.84|0.90|0.86|0.88|0.85|0.91|0.87|0.84|0.90|0.86|0.88|0.85|0.91|0.87|0.84|0.90|0.86|0.88|0.85|0.91|0.87|0.84|0.90|0.86|0.88|0.85|0.91|0.87|0.84|0.90|0.86|0.88|0.85|0.91|0.87|0.84|0.90|0.86|0.88|0.85|0.91|0.87|0.84|0.90|0.86|0.88|0.85|0.91|0.87|0.84|0.90|0.86|0.88|0.85|0.91|0.87
21,Preppy Polo & Chinos,smart-casual,work|casual|brunch,polo-shirt|chinos|boat-shoes|watch,pastel-blue|khaki|white,spring,0.60,0.59|0.56|0.62|0.58|0.60|0.57|0.63|0.59|0.56|0.62|0.58|0.60|0.57|0.63|0.59|0.56|0.62|0.58|0.60|0.57|0.63|0.59|0.56|0.62|0.58|0.60|0.57|0.63|0.59|0.56|0.62|0.58|0.60|0.57|0.63|0.59|0.56|0.62|0.58|0.60|0.57|0.63|0.59|0.56|0.62|0.58|0.60|0.57|0.63|0.59|0.56|0.62|0.58|0.60|0.57|0.63|0.59|0.56|0.62|0.58|0.60|0.57|0.63|0.59
22,Punk Rock Edge,casual,concert|street|casual,leather-jacket|ripped-jeans|band-tee|boots,black|grey|silver,all,0.22,0.21|0.18|0.24|0.20|0.22|0.19|0.25|0.21|0.18|0.24|0.20|0.22|0.19|0.25|0.21|0.18|0.24|0.20|0.22|0.19|0.25|0.21|0.18|0.24|0.20|0.22|0.19|0.25|0.21|0.18|0.24|0.20|0.22|0.19|0.25|0.21|0.18|0.24|0.20|0.22|0.19|0.25|0.21|0.18|0.24|0.20|0.22|0.19|0.25|0.21|0.18|0.24|0.20|0.22|0.19|0.25|0.21|0.18|0.24|0.20|0.22|0.19|0.25|0.21
23,Garden Party Florals,smart-casual,party|wedding-guest|brunch,floral-midi-dress|wedge-sandals|straw-hat,pink|green|white,spring,0.62,0.61|0.58|0.64|0.60|0.62|0.59|0.65|0.61|0.58|0.64|0.60|0.62|0.59|0.65|0.61|0.58|0.64|0.60|0.62|0.59|0.65|0.61|0.58|0.64|0.60|0.62|0.59|0.65|0.61|0.58|0.64|0.60|0.62|0.59|0.65|0.61|0.58|0.64|0.60|0.62|0.59|0.65|0.61|0.58|0.64|0.60|0.62|0.59|0.65|0.61|0.58|0.64|0.60|0.62|0.59|0.65|0.61|0.58|0.64|0.60|0.62|0.59|0.65|0.61
24,Ski Resort Luxe,sporty,sport|outdoor|casual,puffer-jacket|ski-pants|snow-boots|beanie,electric-blue|white|silver,winter,0.18,0.17|0.14|0.20|0.16|0.18|0.15|0.21|0.17|0.14|0.20|0.16|0.18|0.15|0.21|0.17|0.14|0.20|0.16|0.18|0.15|0.21|0.17|0.14|0.20|0.16|0.18|0.15|0.21|0.17|0.14|0.20|0.16|0.18|0.15|0.21|0.17|0.14|0.20|0.16|0.18|0.15|0.21|0.17|0.14|0.20|0.16|0.18|0.15|0.21|0.17|0.14|0.20|0.16|0.18|0.15|0.21|0.17|0.14|0.20|0.16|0.18|0.15|0.21|0.17
25,Elegant Bridal Guest,formal,wedding|formal|gala,chiffon-dress|heels|pearl-accessories,champagne|blush|gold,all,0.90,0.89|0.86|0.92|0.88|0.90|0.87|0.93|0.89|0.86|0.92|0.88|0.90|0.87|0.93|0.89|0.86|0.92|0.88|0.90|0.87|0.93|0.89|0.86|0.92|0.88|0.90|0.87|0.93|0.89|0.86|0.92|0.88|0.90|0.87|0.93|0.89|0.86|0.92|0.88|0.90|0.87|0.93|0.89|0.86|0.92|0.88|0.90|0.87|0.93|0.89|0.86|0.92|0.88|0.90|0.87|0.93|0.89|0.86|0.92|0.88|0.90|0.87|0.93|0.89
